ICR(cps),OCR(cps)
3178.8517319705147, 2976.210673569069
3736.072351409159, 3519.0222155145357
4501.128057551776, 4006.183136445059
5173.135114497072, 4641.676164549084
6004.220159225515, 5558.8028788897755
7077.214160058635, 6385.917130665289
8379.365538433267, 7356.55566518591
9596.472936037078, 8532.92888714353
11025.829878432298, 9917.622780901798
12933.876383668543, 11294.992558971328
15266.311560666443, 13184.506336376671
18017.013040340276, 15153.465095842166
21264.929922527663, 17571.689574429696
25094.15598345576, 19976.231037388796
29721.95118371632, 22539.736081692834
34948.93640645745, 26130.23695917466
41231.49424278013, 28799.112323752015
48880.111230169125, 31251.89483385175
56652.1953929518, 34641.420470407684
67701.93644997137, 38415.56350134553
80876.681091315, 40756.016695859325
94588.20794476793, 42020.02686994088
110983.70080198848, 42166.36575460178
130806.70011300863, 41388.26158222307
154148.0782977002, 39935.2556456128
181071.51661315857, 37523.78390859955
204192.0449790635, 31568.019125167746
247185.86008082784, 26964.688919508302
