ICR(cps),OCR(cps)
447438.6378,423584.9615
471068.4304,438731.1454
518328.0155,479999.341
541957.8081,492075.0429
566769.0903,501877.6715
587472.0108,514656.8345
612847.1858,529948.1408
637833.7128,540903.6674
660106.7709,541718.322
682841.4955,538665.0255
707366.356,535565.9009
730996.1486,528164.6642
776107.5707,484902.9467
796515.1188,462330.3207
176703.5176,170641.5094
186743.7186,177709.9057
193437.1859,189490.566
205150.7538,198915.0943
216864.3216,208339.6226
225231.1558,217764.1509
231924.6231,227188.6792
240291.4573,236613.2075
250331.6583,246037.7358
260371.8593,255462.2642
270412.0603,264886.7925
283798.995,276667.4528
295512.5628,281379.717
307226.1307,288448.1132
310572.8643,300228.7736
317266.3317,309653.3019
327306.5327,314365.566
334000,321433.9623
340693.4673,326146.2264
347386.9347,337926.8868
357427.1357,347351.4151
362447.2362,354419.8113
362447.2362,354419.8113
369140.7035,354419.8113
375834.1709,356775.9434
384201.005,366200.4717
390894.4724,370912.7358
397587.9397,377981.1321
407628.1407,387405.6604
415994.9749,394474.0566
422688.4422,401542.4528
431055.2764,408610.8491
459502.5126,429816.0377
479582.9146,443952.8302
912984.9246,528773.5849
491296.4824,460445.7547
504683.4171,469870.283
554884.4221,491075.4717
745648.2412,519349.0566
752341.7085,507568.3962
765728.6432,498143.8679
598391.9598,526417.4528
645246.2312,531129.717
695447.2362,542910.3774
