Channel,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,10
14,6
15,4
16,10
17,1
18,4
19,2
20,5
21,2
22,6
23,8
24,6
25,8
26,2
27,5
28,2
29,5
30,1
31,5
32,2
33,11
34,16
35,8
36,28
37,15
38,25
39,15
40,16
41,5
42,1
43,4
44,4
45,4
46,4
47,4
48,7
49,9
50,5
51,4
52,5
53,5
54,10
55,2
56,5
57,5
58,0
59,2
60,1
61,0
62,5
63,5
64,4
65,3
66,4
67,8
68,5
69,1
70,3
71,3
72,0
73,1
74,2
75,2
76,6
77,3
78,6
79,5
80,2
81,6
82,5
83,5
84,9
85,3
86,3
87,3
88,2
89,2
90,4
91,4
92,3
93,2
94,1
95,2
96,4
97,3
98,3
99,3
100,4
101,4
102,0
103,2
104,2
105,2
106,6
107,1
108,1
109,1
110,4
111,2
112,2
113,2
114,4
115,4
116,2
117,4
118,3
119,6
120,2
121,1
122,1
123,2
124,3
125,2
126,3
127,2
128,1
129,3
130,6
131,1
132,4
133,0
134,4
135,4
136,3
137,6
138,1
139,11
140,7
141,7
142,3
143,3
144,3
145,3
146,5
147,0
148,3
149,0
150,4
151,1
152,1
153,3
154,2
155,4
156,1
157,3
158,4
159,4
160,4
161,6
162,8
163,4
164,12
165,5
166,4
167,8
168,4
169,4
170,2
171,3
172,1
173,3
174,1
175,2
176,2
177,1
178,2
179,4
180,1
181,3
182,3
183,4
184,2
185,5
186,3
187,0
188,2
189,2
190,2
191,0
192,1
193,3
194,1
195,4
196,1
197,2
198,5
199,1
200,0
201,0
202,2
203,0
204,4
205,0
206,2
207,2
208,1
209,1
210,2
211,3
212,2
213,4
214,1
215,4
216,2
217,4
218,6
219,2
220,1
221,2
222,0
223,1
224,1
225,1
226,3
227,2
228,2
229,1
230,3
231,1
232,3
233,3
234,1
235,1
236,2
237,3
238,1
239,4
240,1
241,3
242,3
243,2
244,4
245,3
246,4
247,3
248,3
249,2
250,3
251,2
252,1
253,1
254,1
255,2
256,1
257,3
258,0
259,2
260,4
261,7
262,4
263,2
264,4
265,2
266,0
267,1
268,4
269,5
270,5
271,5
272,1
273,2
274,4
275,5
276,5
277,4
278,3
279,5
280,1
281,2
282,2
283,4
284,2
285,4
286,2
287,1
288,3
289,2
290,1
291,2
292,2
293,1
294,3
295,5
296,6
297,2
298,4
299,13
300,16
301,13
302,24
303,30
304,28
305,34
306,43
307,34
308,53
309,49
310,30
311,35
312,36
313,33
314,27
315,22
316,33
317,19
318,25
319,25
320,37
321,48
322,50
323,33
324,29
325,27
326,28
327,29
328,18
329,28
330,24
331,12
332,9
333,12
334,8
335,4
336,5
337,3
338,5
339,7
340,5
341,8
342,8
343,10
344,7
345,8
346,7
347,7
348,5
349,7
350,6
351,9
352,3
353,6
354,6
355,8
356,2
357,4
358,1
359,4
360,2
361,3
362,2
363,5
364,1
365,3
366,3
367,7
368,7
369,5
370,5
371,2
372,6
373,3
374,2
375,1
376,0
377,5
378,2
379,3
380,2
381,1
382,1
383,2
384,0
385,3
386,2
387,1
388,6
389,3
390,2
391,3
392,1
393,5
394,2
395,0
396,2
397,0
398,5
399,2
400,3
401,3
402,2
403,1
404,5
405,2
406,5
407,1
408,5
409,4
410,3
411,10
412,3
413,2
414,5
415,1
416,2
417,4
418,3
419,1
420,4
421,1
422,4
423,5
424,2
425,1
426,5
427,5
428,8
429,1
430,1
431,6
432,2
433,5
434,5
435,3
436,5
437,5
438,1
439,4
440,3
441,6
442,3
443,4
444,4
445,3
446,4
447,3
448,8
449,4
450,4
451,4
452,8
453,8
454,3
455,9
456,1
457,2
458,4
459,4
460,1
461,1
462,0
463,1
464,2
465,1
466,0
467,0
468,1
469,3
470,2
471,1
472,2
473,2
474,4
475,0
476,1
477,4
478,3
479,2
480,1
481,2
482,1
483,1
484,2
485,2
486,1
487,1
488,1
489,1
490,1
491,5
492,0
493,5
494,1
495,4
496,5
497,5
498,6
499,10
500,16
501,14
502,17
503,18
504,15
505,24
506,15
507,16
508,16
509,18
510,13
511,8
512,5
513,4
514,2
515,3
516,2
517,3
518,2
519,3
520,2
521,2
522,0
523,2
524,1
525,1
526,1
527,2
528,1
529,1
530,0
531,0
