ICR(cps),OCR(cps)
1694.823599,6388.938761
1694.823599,1851.957792
6349.176679,9413.59274
4917.068039,3364.284782
10287.47544,15462.9007
10287.47544,9413.59274
14941.82852,18487.55468
13509.71988,12438.24672
19238.15444,21512.20866
17806.0458,16975.22769
23534.48036,27561.51662
22102.37172,21512.20866
27830.80628,30586.17059
26398.69764,26049.18963
31769.10504,36635.47855
31769.10504,31342.33409
36423.45812,39660.13253
34991.34948,33610.82457
40719.78404,42684.78651
39287.6754,38147.80554
45016.10996,48734.09447
43584.00132,42684.78651
49312.43588,51758.74845
47880.32724,47221.76748
53250.73464,57808.05641
53250.73464,52514.91194
57905.08772,60832.71039
56472.97908,54783.40243
61843.38648,66882.01835
61843.38648,61588.87388
66497.73956,69906.67232
65065.63092,63857.36437
70794.06548,72931.3263
69361.95684,68394.34534
75090.3914,78980.63426
73658.28276,72931.3263
79386.71732,82005.28824
77954.60868,77468.30727
83325.01608,88054.5962
83325.01608,82761.45174
87979.36916,91079.25018
86547.26052,85029.94222
92275.69508,94608.01316
90843.58644,89566.92319
96572.021,100153.2121
95139.91236,94103.90416
100868.3469,103177.8661
99436.23828,98640.88513
104806.6457,109227.1741
104806.6457,103934.0296
109460.9988,112251.828
108028.8901,106202.5201
113399.2975,118301.136
113399.2975,113007.9915
118053.6506,121325.79
116621.542,115276.482
122349.9765,124350.444
120917.8679,119813.463
126646.3024,130399.7519
125214.1938,124350.444
130942.6284,133424.4059
129510.5197,128887.4249
134880.9271,139473.7138
134880.9271,134180.5694
139535.2802,142498.3678
138103.1716,136449.0599
143831.6061,146027.1308
142399.4975,140986.0408
148127.932,151572.3298
146695.8234,145523.0218
152424.258,154596.9837
150992.1493,150060.0028
156720.5839,160646.2917
155288.4752,154596.9837
161016.9098,163670.9457
159584.8012,159133.9647
164955.2086,169720.2536
164955.2086,164427.1092
169609.5616,172744.9076
168177.453,166695.5997
173905.8876,176273.6706
172473.7789,171232.5806
178202.2135,181818.8696
176770.1048,175769.5616
182498.5394,184843.5235
181066.4308,180306.5426
186436.8382,190892.8315
186436.8382,185599.687
191091.1913,193917.4855
189659.0826,189380.5045
195029.49,199966.7934
195029.49,194673.649
199683.8431,202991.4474
198251.7345,196942.1395
203980.169,206520.2104
202548.0604,201479.1204
208276.4949,212065.4093
206844.3863,206016.1014
212572.8209,215090.0633
211140.7122,210553.0824
216511.1196,221139.3713
216511.1196,215846.2268
221165.4727,224164.0253
219733.3641,219627.0443
225461.7986,227692.7882
224029.69,222651.6983
229758.1245,233237.9872
228326.0159,227188.6792
234054.4505,236262.6412
232622.3418,231725.6602
237992.7492,242311.9491
237992.7492,237018.8047
242647.1023,245336.6031
241214.9937,240799.6222
246585.4011,251385.9111
246585.4011,246092.7666
251239.7541,254410.5651
249807.6455,248361.2571
255536.0801,257939.328
254103.9714,252898.2381
259474.3788,263484.527
259474.3788,258191.3825
264128.7319,266509.181
262696.6233,261972.2
268067.0307,272558.4889
268067.0307,267265.3445
272721.3837,275583.1429
271289.2751,271046.1619
276659.6825,281632.4509
276659.6825,276339.3064
281314.0356,284657.1049
279881.9269,278607.7969
285610.3615,288185.8678
284178.2529,283144.7779
289548.6603,293731.0668
289548.6603,288437.9223
294203.0133,296755.7208
292770.9047,292218.7398
298141.3121,302805.0287
298141.3121,297511.8843
302795.6652,305829.6827
301363.5565,299780.3747
307091.9911,309358.4457
305659.8825,304317.3557
311388.317,314903.6446
309956.2084,308854.3367
315684.6429,317928.2986
314252.5343,313391.3177
319622.9417,323977.6066
319622.9417,318684.4621
324277.2948,327002.2606
322845.1861,322465.2796
328215.5935,333051.5685
328215.5935,327758.4241
332869.9466,336076.2225
331437.838,330026.9145
337166.2725,339604.9855
335734.1639,334563.8955
341104.5713,345150.1844
341104.5713,339857.04
345758.9244,348174.8384
344326.8157,343637.8574
349697.2231,354224.1464
349697.2231,348931.0019
354351.5762,357248.8004
352919.4676,352711.8194
358647.9021,360777.5633
357215.7935,355736.4734
362944.2281,366322.7623
361512.1194,360273.4543
367240.554,369347.4163
365808.4453,364810.4353
371178.8527,375396.7242
371178.8527,370103.5798
375833.2058,378421.3782
374401.0972,373884.3972
380129.5317,381950.1412
378697.4231,376909.0512
384425.8577,387495.3401
382993.749,381446.0322
388722.1836,391024.1031
387290.0749,385983.0132
392660.4823,396569.3021
392660.4823,391276.1576
397314.8354,399593.9561
395882.7268,395056.9751
401253.1342,405643.264
401253.1342,400350.1196
405907.4873,408667.918
404475.3786,404130.937
410203.8132,412196.681
408771.7045,407155.591
414500.1391,417741.8799
413068.0305,411692.572
418796.465,421270.6429
417364.3564,416229.5529
422734.7638,426815.8419
422734.7638,421522.6974
427389.1169,429840.4959
425957.0082,425303.5149
431685.4428,433369.2588
430253.3341,428328.1689
435981.7687,438914.4578
434549.6601,432865.1498
440278.0946,442443.2208
438845.986,437402.1308
444216.3934,447988.4197
444216.3934,442695.2753
448870.7465,451013.0737
447438.6378,446476.0927
452809.0452,457062.3817
452809.0452,451769.2372
457463.3983,460087.0356
456031.2897,455550.0547
461759.7242,463615.7986
460327.6156,458574.7087
466056.0501,469160.9976
464623.9415,463111.6896
470352.3761,472185.6516
468920.2674,467648.6706
474290.6748,478234.9595
474290.6748,472941.8151
478945.0279,481259.6135
477512.9193,476722.6325
483241.3538,484788.3765
481809.2452,479747.2865
487537.6797,490333.5754
486105.5711,484284.2675
491834.0057,493862.3384
490401.897,488821.2484
495772.3044,499407.5374
495772.3044,494114.3929
500426.6575,502432.1914
498994.5489,497895.2104
504364.9563,508481.4993
504364.9563,503188.3549
509019.3093,511506.1533
507587.2007,506969.1723
513315.6353,515034.9163
511883.5266,509993.8263
517611.9612,520580.1152
516179.8525,514530.8073
521908.2871,524108.8782
520476.1785,519067.7882
526204.613,529654.0772
524772.5044,523604.7692
530500.939,532678.7311
529068.8303,528141.7502
534439.2377,538728.0391
534439.2377,533434.8946
539093.5908,541752.6931
537661.4822,535703.3851
543389.9167,545281.4561
541957.8081,540240.3661
547328.2155,550826.655
547328.2155,545533.5106
551982.5686,553851.309
550550.4599,549314.328
555920.8673,559900.617
555920.8673,554607.4725
560575.2204,562925.2709
559143.1118,558388.29
564513.5192,568974.5789
564513.5192,563681.4344
569167.8722,571999.2329
567735.7636,565949.9249
573464.1982,575023.8869
572032.0895,570486.9059
577402.4969,581073.1948
577402.4969,575780.0504
582056.85,584097.8488
580624.7414,579560.8678
586353.1759,587626.6118
584921.0673,582585.5218
590649.5018,593171.8107
589217.3932,587122.5028
594945.8278,596700.5737
593513.7191,591659.4837
598884.1265,602245.7727
598884.1265,596952.6282
603538.4796,605270.4267
602106.371,600733.4457
607476.7784,611319.7346
607476.7784,606026.5901
612131.1314,614344.3886
610699.0228,609807.4076
616427.4574,617873.1516
614995.3487,612832.0616
620723.7833,623418.3505
619291.6746,617369.0426
625020.1092,626443.0045
623588.0006,621906.0235
628958.408,632492.3125
628958.408,627199.168
633612.761,635516.9664
632180.6524,629467.6585
637909.087,639045.7294
636476.9783,634004.6395
642205.4129,644590.9284
640773.3042,638541.6204
646501.7388,648119.6914
645069.6302,643078.6014
650440.0376,653664.8903
650440.0376,648371.7459
655094.3906,656689.5443
653662.282,652152.5633
659032.6894,662738.8523
659032.6894,657445.7078
663687.0425,665763.5062
662254.9338,659714.1983
667983.3684,669292.2692
666551.2598,664251.1792
671921.6672,674837.4682
671921.6672,669544.3237
676576.0202,677862.1222
675143.9116,673325.1412
680514.319,683911.4301
680514.319,678618.2856
685168.6721,686936.0841
683736.5634,682399.1031
689464.998,690464.8471
688032.8894,685423.7571
693761.3239,696010.046
692329.2153,689960.7381
698057.6498,699034.7
696625.5412,694497.719
701995.9486,705084.008
701995.9486,699790.8635
706650.3017,708108.6619
705218.193,703571.681
710946.6276,711637.4249
709514.519,706596.335
715242.9535,717182.6239
713810.8449,711133.3159
719539.2794,720207.2779
718107.1708,715670.2969
723477.5782,726256.5858
723477.5782,720963.4414
728131.9313,729281.2398
726699.8226,724744.2588
732428.2572,732810.0028
730996.1486,727768.9128
736724.5831,738355.2017
735292.4745,732305.8938
741020.909,741883.9647
739588.8004,736842.8747
744959.2078,747429.1637
744959.2078,742136.0192
749613.5609,750453.8177
748181.4522,745916.8367
753909.8868,753982.5806
752477.7782,748941.4907
758206.2127,759527.7796
756774.1041,753478.4716
762502.5386,763056.5426
761070.43,758015.4526
766440.8374,768601.7415
766440.8374,763308.5971
771095.1905,771626.3955
769663.0818,767089.4145
775391.5164,775155.1585
773959.4078,770114.0685
779687.8423,780700.3574
778255.7337,774651.0495
783984.1682,783725.0114
782552.0596,779188.0305
787922.467,789774.3194
787922.467,784481.1749
792576.8201,792798.9734
791144.7114,788261.9924
796873.146,796327.7363
795441.0374,791286.6464
800811.4448,801872.9353
800811.4448,796579.7908
805465.7978,804897.5893
804033.6892,800360.6083
809404.0966,810946.8972
809404.0966,805653.7528
814058.4497,813971.5512
812626.341,807922.2433
818354.7756,817500.3142
816922.667,812459.2242
822293.0744,823045.5132
822293.0744,817752.3687
826947.4274,826070.1671
825515.3188,821533.1862
831243.7534,829094.8211
829811.6447,824557.8401
835182.0521,835144.1291
835182.0521,829850.9846
839836.4052,838168.7831
838404.2966,833631.8021
844132.7311,841697.546
842700.6225,836656.4561
848429.057,847242.745
846996.9484,841193.437
852725.383,850267.399
851293.2743,845730.418
856663.6817,856316.7069
856663.6817,851023.5625
861318.0348,859341.3609
859885.9262,853292.0529
865614.3607,862366.0149
864182.2521,857829.0339
869552.6595,868415.3228
869552.6595,863122.1784
874207.0126,871439.9768
872774.9039,865390.6689
878503.3385,874464.6308
877071.2299,869927.6498
882441.6373,880513.9388
882441.6373,875220.7943
886737.9632,883538.5927
886737.9632,878245.4483
891392.3163,886563.2467
889960.2076,882026.2658
895688.6422,889587.9007
894256.5335,885050.9197
899984.9681,895637.2087
898552.8595,889587.9007
904281.294,898661.8626
902849.1854,894124.8817
908577.6199,901686.5166
907145.5113,897149.5356
912873.9459,905215.2796
911441.8372,900174.1896
916812.2446,910760.4786
916812.2446,905467.3341
921466.5977,913785.1325
920034.4891,909248.1516
925762.9236,916809.7865
924330.815,912272.8055
929701.2224,922859.0945
929701.2224,917565.95
933997.5483,925883.7484
933997.5483,920590.604
938293.8742,928908.4024
938293.8742,923615.258
942590.2001,931933.0564
942590.2001,926639.9119
947244.5532,934957.7104
945812.4446,930420.7294
951540.8791,937982.3644
950108.7705,933445.3834
955837.2051,941007.0183
954405.0964,936470.0374
960133.531,944535.7813
958701.4223,939494.6914
964429.8569,947056.3263
962997.7483,942519.3453
968726.1828,950585.0893
967294.0742,945543.9993
973022.5087,953105.6343
971590.4001,948568.6533
977318.8347,956634.3972
975886.726,951593.3073
981615.1606,959154.9422
980183.0519,954617.9613
985553.4593,962179.5962
985553.4593,957642.6152
989849.7853,965204.2502
989849.7853,960667.2692
994146.1112,965204.2502
993072.0297,960667.2692
997368.3556,968228.9042
997368.3556,962179.5962
