Channel,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,11
13,22
14,8
15,7
16,12
17,9
18,12
19,11
20,18
21,13
22,10
23,6
24,10
25,14
26,8
27,3
28,5
29,12
30,8
31,7
32,7
33,13
34,7
35,8
36,7
37,13
38,6
39,6
40,8
41,8
42,8
43,8
44,8
45,9
46,13
47,11
48,6
49,11
50,5
51,13
52,9
53,6
54,11
55,7
56,6
57,9
58,9
59,5
60,9
61,15
62,9
63,9
64,10
65,13
66,12
67,5
68,11
69,5
70,10
71,8
72,7
73,11
74,9
75,6
76,11
77,14
78,10
79,9
80,8
81,8
82,7
83,9
84,11
85,5
86,11
87,9
88,4
89,2
90,6
91,7
92,12
93,7
94,9
95,9
96,6
97,7
98,6
99,6
100,8
101,9
102,8
103,14
104,6
105,5
106,6
107,5
108,7
109,9
110,2
111,10
112,9
113,10
114,6
115,2
116,5
117,14
118,6
119,6
120,9
121,8
122,4
123,10
124,10
125,8
126,5
127,5
128,7
129,7
130,11
131,12
132,10
133,2
134,10
135,8
136,10
137,16
138,7
139,9
140,15
141,12
142,10
143,3
144,6
145,9
146,8
147,4
148,10
149,5
150,7
151,11
152,9
153,11
154,8
155,8
156,2
157,5
158,8
159,19
160,16
161,16
162,19
163,24
164,16
165,7
166,11
167,12
168,6
169,12
170,15
171,9
172,4
173,10
174,5
175,10
176,8
177,8
178,11
179,10
180,5
181,8
182,10
183,12
184,6
185,7
186,3
187,11
188,9
189,8
190,5
191,10
192,9
193,7
194,9
195,10
196,7
197,10
198,7
199,7
200,13
201,10
202,6
203,10
204,6
205,9
206,10
207,12
208,3
209,8
210,3
211,6
212,8
213,8
214,5
215,4
216,12
217,7
218,11
219,9
220,7
221,8
222,4
223,8
224,6
225,6
226,5
227,8
228,11
229,6
230,6
231,6
232,6
233,0
234,5
235,10
236,10
237,11
238,8
239,19
240,13
241,29
242,27
243,24
244,24
245,41
246,33
247,37
248,32
249,19
250,16
251,21
252,16
253,13
254,6
255,14
256,4
257,9
258,8
259,10
260,11
261,10
262,14
263,9
264,12
265,12
266,9
267,6
268,9
269,8
270,13
271,12
272,17
273,17
274,4
275,11
276,9
277,10
278,10
279,13
280,13
281,8
282,7
283,10
284,10
285,7
286,7
287,6
288,10
289,7
290,7
291,9
292,12
293,4
294,12
295,12
296,4
297,6
298,7
299,11
300,13
301,8
302,10
303,6
304,15
305,3
306,11
307,9
308,10
309,11
310,10
311,6
312,13
313,12
314,11
315,7
316,8
317,11
318,5
319,7
320,4
321,8
322,4
323,6
324,8
325,10
326,8
327,11
328,8
329,5
330,5
331,4
332,8
333,10
334,7
335,14
336,7
337,12
338,26
339,26
340,32
341,41
342,50
343,50
344,80
345,74
346,58
347,53
348,56
349,34
350,35
351,24
352,34
353,18
354,14
355,6
356,6
357,12
358,8
359,9
360,8
361,10
362,7
363,9
364,11
365,14
366,11
367,9
368,5
369,18
370,13
371,10
372,9
373,7
374,11
375,12
376,20
377,17
378,16
379,13
380,11
381,13
382,9
383,7
384,5
385,8
386,5
387,9
388,9
389,9
390,5
391,12
392,10
393,8
394,5
395,7
396,9
397,3
398,9
399,9
400,4
401,6
402,4
403,9
404,7
405,7
406,7
407,5
408,5
409,7
410,6
411,16
412,9
413,7
414,7
415,11
416,11
417,7
418,11
419,14
420,13
421,7
422,6
423,16
424,17
425,20
426,17
427,25
428,25
429,38
430,31
431,41
432,60
433,48
434,54
435,63
436,49
437,57
438,45
439,45
440,24
441,24
442,32
443,19
444,7
445,10
446,8
447,8
448,5
449,9
450,6
451,12
452,8
453,9
454,4
455,4
456,8
457,12
458,7
459,14
460,18
461,9
462,6
463,14
464,3
465,5
466,9
467,10
468,9
469,5
470,10
471,10
472,8
473,8
474,8
475,8
476,11
477,18
478,12
479,6
480,10
481,9
482,9
483,6
484,9
485,7
486,9
487,10
488,11
489,17
490,12
491,9
492,11
493,18
494,14
495,22
496,19
497,19
498,19
499,7
500,8
501,11
502,19
503,10
504,12
505,18
506,8
507,16
508,14
509,11
510,8
511,14
512,18
513,15
514,17
515,17
516,13
517,5
518,16
519,17
520,11
521,11
522,7
523,11
524,10
525,13
526,8
527,7
528,10
529,14
530,7
531,8
