BLUE ocr vs icr,,Red ocr vs icr,,black ocr vs icr,
X,Y,X,Y,X,Y
1694.8235989636742,6388.938760854071,275585.6010154579,271046.1619442451,447438.6378258072,423584.9614881268
1694.8235989636742,1851.9577919959556,283104.17137591075,278607.7968923419,471068.43038723024,438731.1454296177
6349.176679243974,9413.592740092892,290622.7417363635,286169.43184043886,518328.0155100763,479999.3410099889
4917.068039157719,3364.28478161525,297067.2306167516,292218.7397989164,541957.8080714993,492075.04288164666
10287.475439481146,15462.900698570302,304585.80097720434,299780.3747470132,566769.0902609936,501877.67145981593
10287.475439481146,9413.592740092892,311030.28985759243,305829.68270549073,587472.0107892404,514656.8345220997
14941.828519761446,18487.554677809123,319622.94169810996,314903.64464320696,612847.1857557684,529948.1407504736
13509.71987967519,12438.24671933148,326067.43057849805,320952.9526016845,637833.7128183258,540903.6674077307
19238.154440020182,21512.20865704771,332511.91945888614,327002.260560162,660106.7708786145,541718.3220181677
17806.045799933927,16975.227688189596,336808.2453791449,331539.24152902013,682841.4955399836,538665.0254823073
23534.480360278918,27561.516615525354,341104.57129940356,336076.22249787825,707366.3560014606,535565.9008558525
22102.371720192663,21512.20865704771,347549.06017979165,342125.5304563558,730996.1485628836,528164.6642248365
27830.806280537625,30586.170594764175,351845.3861000504,346662.5114252139,776107.5707256004,484902.9467036034
26398.6976404514,26049.18962590606,356141.7120203092,351199.492394072,796515.1188468293,462330.32068126916
31769.105040774797,36635.478553241584,362586.20090069727,357248.80035254953,176703.5175879397,170641.5094339624
31769.105040774797,31342.334089573706,366882.5268209559,361785.78132140765,186743.7185929649,177709.90566037747
36423.4581210551,39660.132532480406,371178.8527412147,366322.7622902659,193437.18592964826,189490.5660377359
34991.34948096884,33610.82457400276,377623.34162160277,372372.0702487433,205150.7537688442,198915.09433962265
40719.78404131383,42684.786511718994,384067.83050199086,378421.3782072208,216864.32160804022,208339.6226415094
39287.67540122758,38147.80554286088,388364.1564222496,382958.3591760789,225231.15577889446,217764.15094339615
45016.10996157257,48734.09447019664,392660.4823425084,387495.34014493716,231924.62311557794,227188.67924528313
43584.001321486314,42684.786511718994,396956.80826276715,390519.99412417586,240291.45728643218,236613.20754716988
49312.435881831305,51758.74844943546,401253.1341830258,396569.3020826534,250331.6582914573,246037.73584905663
47880.32724174505,47221.76748057734,405549.46010328457,399593.9560618921,260371.85929648243,255462.26415094337
53250.73464206848,57808.05640791287,409845.78602354333,404130.9370307502,270412.0603015076,264886.79245283024
53250.73464206848,52514.91194424499,414142.111943802,408667.9179996083,283798.9949748744,276667.4528301887
57905.08772234878,60832.71038715169,418438.43786406075,412448.7354736568,295512.5628140704,281379.71698113217
56472.97908226252,54783.40242867416,422734.7637843195,416985.7164425149,307226.13065326645,288448.1132075472
61843.38648258592,66882.0183456291,427031.0897045783,420766.5339165634,310572.8643216081,300228.7735849058
61843.38648258592,61588.873881961335,431327.4156248369,424547.35139061185,317266.3316582915,309653.3018867925
66497.73956286625,69906.67232486792,435623.7415450957,429084.33235946996,327306.5326633167,314365.5660377359
65065.630922779994,63857.36436639039,439920.06746535446,433621.3133283281,334000,321433.96226415096
70794.06548312498,72931.32630410662,444216.3933856132,437402.13080237655,340693.4673366834,326146.22641509434
69361.95684303873,68394.34533524851,448512.71930587187,441939.11177123466,347386.93467336695,337926.8867924529
75090.39140338369,78980.63426258415,452809.04522613063,446476.0927400928,357427.135678392,347351.41509433964
73658.28276329744,72931.32630410662,457105.3711463894,450256.91021414124,362447.23618090455,354419.8113207548
79386.71732364243,82005.28824182297,461401.69706664805,454793.89118299936,362447.23618090455,354419.8113207548
77954.60868355617,77468.30727296474,465698.0229869068,458574.7086570478,369140.703517588,354419.8113207548
83325.0160838796,88054.59620030038,469994.3489071656,463111.68962590594,375834.1708542714,356775.9433962265
83325.0160838796,82761.45173663262,474290.67482742434,467648.67059476406,384201.0050251257,366200.47169811325
87979.3691641599,91079.2501795392,478587.000747683,470673.3245740029,390894.4723618091,370912.7358490566
86547.26052407364,85029.94222106168,482883.32666794176,475210.305542861,397587.9396984925,377981.1320754718
92275.69508441864,94608.01315531775,487179.6525882005,479747.2865117191,407628.1407035176,387405.66037735855
90843.58644433238,89566.92318991979,491475.9785084593,484284.2674805772,415994.9748743718,394474.0566037736
96572.02100467737,100153.21211725543,490401.8970283945,479747.2865117191,422688.4422110553,401542.4528301887
95139.91236459112,94103.9041587779,496130.33158873953,487813.0304563558,431055.2763819096,408610.84905660385
100868.34692493608,103177.86609649414,500068.6303489767,491845.90242867416,459502.51256281417,429816.03773584904
99436.23828484982,98640.88512763602,504722.98342925706,496886.992394072,479582.9145728643,443952.8301886793
104806.64568517325,109227.17405497166,503290.8747891708,491845.90242867416,912984.9246231156,528773.5849056605
104806.64568517325,103934.0295913039,509019.3093495158,499911.6463733108,491296.48241206026,460445.7547169812
109460.99876545355,112251.82803421048,512957.6081097529,505456.8453352485,504683.4170854272,469870.28301886795
108028.8901253673,106202.52007573296,511883.5266296882,500919.8643663904,554884.4221105528,491075.47169811325
113399.29752569072,118301.13599268801,517611.96119003324,508985.60831102706,745648.2412060302,519349.05660377373
113399.29752569072,113007.99152902013,516179.852549947,503944.5183456291,752341.7085427137,507568.3962264152
118053.65060597102,121325.78997192672,521550.2599502704,514530.80727296474,765728.6432160805,498143.86792452843
116621.54196588477,115276.48201344919,521550.2599502704,509993.8263041066,598391.959798995,526417.4528301888
122349.97652622973,124350.44395116542,526204.6130305507,518059.5702487433,645246.231155779,531129.7169811322
120917.86788614353,119813.4629823073,524772.5043904644,513018.48028334545,695447.2361809046,542910.3773584906
126646.3024464885,130399.75190964295,530500.9389508094,521084.2242279821,,
125214.19380640224,124350.44395116542,529068.8303107232,516043.13426258415,,
130942.6283667472,133424.40588888177,534439.2377110466,526629.4231899198,,
129510.519726661,128887.42492002365,534439.2377110466,522092.4422210617,,
