ICR(cps),OCR(cps)
4015.17559316525, 3788.9469624250924
4451.760187670015, 4207.351313993088
4923.801597420168, 4639.381953992847
5459.184390514143, 5151.697807813678
6052.781295096951, 5720.587476138024
6629.0086645391875, 6264.16867249272
7360.700616846555, 6955.872651990742
8089.226564496441, 7643.473713180518
8903.037314914867, 8399.005358305547
9871.096829574526, 9326.487433301063
10784.42833479885, 10159.272523818832
11782.172916453443, 11085.816861604095
12871.816576185953, 12181.903128372885
14062.680370375268, 13292.915097052675
15363.719489695855, 14505.253400504807
16784.993574819007, 15855.903629573555
18337.747541906778, 17332.319054941385
20034.462998561383, 18879.964617783597
21888.16847453384, 20565.803274152033
23912.81916740511, 22520.184423333107
26125.372797604334, 24531.0672940372
28542.417850275844, 26768.345745602506
31183.328977784022, 29158.557429710465
34068.32172470064, 31817.871491927304
37220.52173838732, 34658.967797474834
40664.05835784843, 37819.9294008713
44427.59421619356, 40981.08481078518
48539.8384317693, 44328.76161981635
53031.02765457264, 48286.986194942656
57939.610722504454, 52231.46996371482
63302.53512230213, 56498.17206558595
69162.40489751872, 61006.478567613674
75564.11771795907, 65989.99655998549
82559.68977427448, 71131.02679175141
90203.61488970806, 76538.4145603677
98556.0490915355, 82212.76556153869
107681.87976069006, 88307.79759548826
117653.65532430296, 94688.72336453394
128551.92395592749, 100998.68154275767
140460.81705755592, 107540.62582781159
153472.9354594501, 114506.30866444879
167694.48082765753, 121284.27742201355
183236.7774483731, 128014.28043790952
200221.1606636452, 134881.30075877332
218785.06072409282, 141371.96911452748
239075.85238612242, 147398.5137027412
261252.62842318203, 153144.61316387967
285493.3417025566, 158280.92569967016
312000.6312172643, 161596.2658172279
340977.18507341744, 164116.51857242215
372671.5582326423, 164069.54625693074
407311.9739247126, 164022.58738553655
445211.2108889179, 160846.9647823336
486671.6922781639, 155266.15143462125
532052.4237939274, 146248.8542410581
581738.7840970639, 133948.77490141554
636105.6280530137, 120976.30458738067
680165.5207142781, 112965.05993307148
